Sequence,Date of Collection,Clade
seq_2366,2021-09-17,21J (Delta)
seq_2367,2021-09-19,21J (Delta)
seq_2368,2021-09-17,21J (Delta)
seq_2369,2021-09-17,21J (Delta)
seq_2370,2021-09-19,21I (Delta)
seq_2371,2021-09-17,21J (Delta)
seq_2372,2021-09-17,21J (Delta)
seq_2373,2021-09-21,21J (Delta)
seq_2374,2021-09-20,21J (Delta)
seq_2375,2021-09-17,21I (Delta)
seq_2376,2021-09-19,21A (Delta)
seq_2377,2021-09-21,21J (Delta)
seq_2378,2021-09-20,21J (Delta)
seq_2379,2021-09-21,21J (Delta)
seq_2380,2021-09-22,21J (Delta)
seq_2381,2021-09-20,21I (Delta)
seq_2382,2021-09-21,21A (Delta)
seq_2383,2021-09-20,21J (Delta)
seq_2384,2021-09-22,21J (Delta)
seq_2385,2021-09-20,21J (Delta)
seq_2386,2021-09-19,21J (Delta)
seq_2387,2021-09-21,21J (Delta)
seq_2388,2021-09-19,21J (Delta)
seq_2389,2021-09-21,21J (Delta)
seq_2390,2021-09-21,21I (Delta)
seq_2391,2021-09-20,21J (Delta)
seq_2392,2021-09-19,21I (Delta)
seq_2393,2021-09-17,21J (Delta)
seq_2394,2021-09-20,21J (Delta)
seq_2395,2021-09-20,21J (Delta)
seq_2396,2021-09-20,21J (Delta)
seq_2397,2021-09-21,21J (Delta)
seq_2398,2021-09-17,21J (Delta)
seq_2399,2021-09-20,21J (Delta)
seq_2400,2021-09-20,21A (Delta)
seq_2401,2021-09-22,21J (Delta)
seq_2402,2021-09-20,21J (Delta)
seq_2403,2021-09-21,21J (Delta)
seq_2404,2021-09-20,21J (Delta)
seq_2405,2021-09-17,21J (Delta)
seq_2406,2021-09-20,21J (Delta)
seq_2407,2021-09-19,21J (Delta)
seq_2408,2021-09-21,21J (Delta)
seq_2409,2021-09-20,21J (Delta)
seq_2410,2021-09-19,21J (Delta)
seq_2411,2021-09-21,21J (Delta)
seq_2412,2021-09-21,21J (Delta)
seq_2413,2021-09-19,21I (Delta)
seq_2414,2021-09-21,21J (Delta)
seq_2415,2021-09-19,21J (Delta)
seq_2416,2021-09-19,21J (Delta)
seq_2417,2021-09-21,21I (Delta)
seq_2418,2021-09-20,21J (Delta)
seq_2419,2021-09-19,21A (Delta)
seq_2420,2021-09-19,21J (Delta)
seq_2421,2021-09-19,21J (Delta)
seq_2422,2021-09-19,21J (Delta)
seq_2423,2021-09-21,21J (Delta)
seq_2424,2021-09-21,21J (Delta)
seq_2425,2021-09-20,21J (Delta)
seq_2426,2021-09-20,21J (Delta)
seq_2427,2021-09-19,21J (Delta)
seq_2428,2021-09-22,21J (Delta)
seq_2429,2021-09-20,21J (Delta)
seq_2430,2021-09-21,21J (Delta)
seq_2431,2021-09-17,21J (Delta)
seq_2432,2021-09-21,21J (Delta)
seq_2433,2021-09-20,21I (Delta)
seq_2434,2021-09-20,21J (Delta)
seq_2435,2021-09-20,21I (Delta)
seq_2436,2021-09-21,21J (Delta)
seq_2437,2021-09-20,21J (Delta)
seq_2438,2021-09-17,21J (Delta)
seq_2439,2021-09-21,21I (Delta)
seq_2440,2021-09-19,21J (Delta)
seq_2441,2021-09-20,21J (Delta)
seq_2442,2021-09-20,21J (Delta)
seq_2443,2021-09-20,21J (Delta)
seq_2444,2021-09-21,21I (Delta)
seq_2445,2021-09-20,21J (Delta)
seq_2446,2021-09-18,21J (Delta)
seq_2447,2021-09-20,21J (Delta)
seq_2448,2021-09-20,21J (Delta)
seq_2449,2021-09-21,21J (Delta)
seq_2450,2021-09-17,21J (Delta)
seq_2451,2021-09-20,21J (Delta)
seq_2452,2021-09-20,21J (Delta)
seq_2453,2021-09-20,21J (Delta)
seq_2454,2021-09-21,21J (Delta)
seq_2455,2021-09-20,21J (Delta)
seq_2456,2021-09-20,21J (Delta)
seq_2457,2021-09-20,21J (Delta)
seq_2458,2021-09-20,21J (Delta)
seq_2459,2021-09-21,21J (Delta)
seq_2460,2021-09-20,21J (Delta)
seq_2461,2021-09-19,21A (Delta)
seq_2462,2021-09-20,21I (Delta)
seq_2463,2021-09-19,21J (Delta)
seq_2464,2021-09-20,21J (Delta)
seq_2465,2021-09-21,21J (Delta)
seq_2466,2021-09-20,21J (Delta)
seq_2467,2021-09-19,21J (Delta)
seq_2468,2021-09-21,21J (Delta)
seq_2469,2021-09-20,21J (Delta)
seq_2470,2021-09-20,21J (Delta)
seq_2471,2021-09-20,21J (Delta)
seq_2472,2021-09-22,21J (Delta)
seq_2473,2021-09-21,21J (Delta)
seq_2474,2021-09-19,21J (Delta)
seq_2475,2021-09-20,21J (Delta)
seq_2476,2021-09-17,21J (Delta)
seq_2477,2021-09-20,21J (Delta)
seq_2478,2021-09-21,21J (Delta)
seq_2479,2021-09-20,21J (Delta)
seq_2480,2021-09-21,21J (Delta)
seq_2481,2021-09-20,21J (Delta)
seq_2482,2021-09-19,21J (Delta)
seq_2483,2021-09-20,21J (Delta)
seq_2484,2021-09-20,21J (Delta)
seq_2485,2021-09-14,21J (Delta)
seq_2486,2021-09-20,21J (Delta)
seq_2487,2021-09-20,21J (Delta)
seq_2488,2021-09-22,21J (Delta)
seq_2489,2021-09-19,21J (Delta)
seq_2490,2021-09-20,21J (Delta)
seq_2491,2021-09-20,21J (Delta)
seq_2492,2021-09-21,21I (Delta)
seq_2493,2021-09-17,21J (Delta)
seq_2494,2021-09-22,21J (Delta)
seq_2495,2021-09-19,21J (Delta)
seq_2496,2021-09-20,21J (Delta)
seq_2497,2021-09-19,21J (Delta)
seq_2498,2021-09-20,21J (Delta)
seq_2499,2021-09-21,21J (Delta)
seq_2500,2021-09-22,21I (Delta)
seq_2501,2021-09-19,21J (Delta)
seq_2502,2021-09-21,21J (Delta)
seq_2503,2021-09-20,21J (Delta)
seq_2504,2021-09-17,21J (Delta)
seq_2505,2021-09-21,21J (Delta)
seq_2506,2021-09-19,21J (Delta)
seq_2507,2021-09-20,21J (Delta)
seq_2508,2021-09-22,21J (Delta)
seq_2509,2021-09-20,21J (Delta)
seq_2510,2021-09-20,21J (Delta)
seq_2511,2021-09-21,21J (Delta)
seq_2512,2021-09-21,21J (Delta)
seq_2513,2021-09-19,21J (Delta)
seq_2514,2021-09-19,21J (Delta)
seq_2515,2021-09-21,21J (Delta)
seq_2516,2021-09-19,21J (Delta)
seq_2517,2021-09-21,21J (Delta)
seq_2518,2021-09-20,21J (Delta)
seq_2519,2021-09-20,21J (Delta)
seq_2520,2021-09-20,21J (Delta)
seq_2521,2021-09-21,21J (Delta)
seq_2522,2021-09-21,21J (Delta)
seq_2523,2021-09-19,21J (Delta)
seq_2524,2021-09-21,21J (Delta)
seq_2525,2021-09-20,21J (Delta)
seq_2526,2021-09-21,21J (Delta)
seq_2527,2021-09-21,21J (Delta)
seq_2528,2021-09-20,21J (Delta)
seq_2529,2021-09-19,21J (Delta)
seq_2530,2021-09-20,21J (Delta)
seq_2531,2021-09-19,21J (Delta)
seq_2532,2021-09-20,21J (Delta)
seq_2533,2021-09-20,21I (Delta)
seq_2534,2021-09-20,21J (Delta)
seq_2535,2021-09-20,21J (Delta)
seq_2536,2021-09-22,21J (Delta)
seq_2537,2021-09-19,21J (Delta)
seq_2538,2021-09-21,21J (Delta)
seq_2539,2021-09-19,21H (Mu)
seq_2540,2021-09-19,21J (Delta)
seq_2541,2021-09-19,21J (Delta)
seq_2542,2021-09-20,21J (Delta)
seq_2543,2021-09-21,21J (Delta)
seq_2544,2021-09-20,21J (Delta)
seq_2545,2021-09-20,21J (Delta)
seq_2546,2021-09-22,21J (Delta)
seq_2547,2021-09-19,21J (Delta)
seq_2548,2021-09-17,21J (Delta)
seq_2549,2021-09-20,21I (Delta)
seq_2550,2021-09-20,21I (Delta)
seq_2551,2021-09-20,21J (Delta)
seq_2552,2021-09-19,21J (Delta)
seq_2553,2021-09-21,21J (Delta)
seq_2554,2021-09-21,21J (Delta)
seq_2555,2021-09-19,21J (Delta)
seq_2556,2021-09-20,21I (Delta)
seq_2557,2021-09-21,21J (Delta)
seq_2558,2021-09-21,21J (Delta)
seq_2559,2021-09-20,21J (Delta)
seq_2560,2021-09-19,21J (Delta)
seq_2561,2021-09-19,21J (Delta)
seq_2562,2021-09-20,21J (Delta)
seq_2563,2021-09-21,21J (Delta)
seq_2564,2021-09-20,21J (Delta)
seq_2565,2021-09-22,21J (Delta)
seq_2566,2021-09-20,21J (Delta)
seq_2567,2021-09-20,21J (Delta)
seq_2568,2021-09-22,21J (Delta)
seq_2569,2021-09-19,21A (Delta)
seq_2570,2021-09-21,21J (Delta)
seq_2571,2021-09-20,21J (Delta)
seq_2572,2021-09-21,21J (Delta)
seq_2573,2021-09-20,21J (Delta)
seq_2574,2021-09-20,21I (Delta)
seq_2575,2021-09-22,21J (Delta)
seq_2576,2021-09-21,21J (Delta)
seq_2577,2021-09-19,21J (Delta)
seq_2578,2021-09-17,21J (Delta)
seq_2579,2021-09-20,21J (Delta)
seq_2580,2021-09-19,21J (Delta)
seq_2581,2021-09-21,21A (Delta)
seq_2582,2021-09-20,21J (Delta)
seq_2583,2021-09-17,21A (Delta)
seq_2584,2021-09-17,21J (Delta)
seq_2585,2021-09-20,21J (Delta)
seq_2586,2021-09-22,21A (Delta)
seq_2587,2021-09-20,21J (Delta)
seq_2588,2021-09-20,21J (Delta)
seq_2589,2021-09-21,21J (Delta)
seq_2590,2021-09-20,21J (Delta)
seq_2591,2021-09-20,21J (Delta)
seq_2592,2021-09-22,21J (Delta)
seq_2593,2021-09-19,21J (Delta)
seq_2594,2021-09-22,21J (Delta)
seq_2595,2021-09-20,21J (Delta)
seq_2596,2021-09-19,21J (Delta)
seq_2597,2021-09-20,21I (Delta)
seq_2598,2021-09-23,21J (Delta)
seq_2599,2021-09-24,21J (Delta)
seq_2600,2021-09-24,21J (Delta)
seq_2601,2021-09-22,21J (Delta)
seq_2602,2021-09-23,21J (Delta)
seq_2603,2021-09-22,21J (Delta)
seq_2604,2021-09-22,21J (Delta)
seq_2605,2021-09-21,21J (Delta)
seq_2606,2021-09-22,21J (Delta)
seq_2607,2021-09-25,21J (Delta)
seq_2608,2021-09-22,21I (Delta)
seq_2609,2021-09-22,21J (Delta)
seq_2610,2021-09-23,21J (Delta)
seq_2611,2021-09-23,21J (Delta)
seq_2612,2021-09-23,21J (Delta)
seq_2613,2021-09-24,21J (Delta)
seq_2614,2021-09-24,21J (Delta)
seq_2615,2021-09-24,21J (Delta)
seq_2616,2021-09-22,21J (Delta)
seq_2617,2021-09-23,21J (Delta)
seq_2618,2021-09-24,21J (Delta)
seq_2619,2021-09-24,21J (Delta)
seq_2620,2021-09-24,21J (Delta)
seq_2621,2021-09-22,21J (Delta)
seq_2622,2021-09-21,21J (Delta)
seq_2623,2021-09-24,21I (Delta)
seq_2624,2021-09-23,21J (Delta)
seq_2625,2021-09-23,21J (Delta)
seq_2626,2021-09-23,21I (Delta)
seq_2627,2021-09-23,21J (Delta)
seq_2628,2021-09-21,21J (Delta)
seq_2629,2021-09-24,21J (Delta)
seq_2630,2021-09-23,21J (Delta)
seq_2631,2021-09-24,21J (Delta)
seq_2632,2021-09-23,21J (Delta)
seq_2633,2021-09-24,21J (Delta)
seq_2634,2021-09-22,21I (Delta)
seq_2635,2021-09-22,21J (Delta)
seq_2636,2021-09-24,21J (Delta)
seq_2637,2021-09-23,21J (Delta)
seq_2638,2021-09-22,21J (Delta)
seq_2639,2021-09-23,21J (Delta)
seq_2640,2021-09-22,21J (Delta)
seq_2641,2021-09-22,21A (Delta)
seq_2642,2021-09-22,21J (Delta)
seq_2643,2021-09-24,21J (Delta)
seq_2644,2021-09-22,21J (Delta)
seq_2645,2021-09-24,21J (Delta)
seq_2646,2021-09-22,21J (Delta)
seq_2647,2021-09-24,21J (Delta)
seq_2648,2021-09-22,21J (Delta)
seq_2649,2021-09-21,21J (Delta)
seq_2650,2021-09-23,21I (Delta)
seq_2651,2021-09-24,21J (Delta)
seq_2652,2021-09-23,21J (Delta)
seq_2653,2021-09-22,21J (Delta)
seq_2654,2021-09-24,21J (Delta)
seq_2655,2021-09-23,21J (Delta)
seq_2656,2021-09-23,21J (Delta)
seq_2657,2021-09-23,21J (Delta)
seq_2658,2021-09-23,21J (Delta)
seq_2659,2021-09-23,21J (Delta)
seq_2660,2021-09-24,21J (Delta)
seq_2661,2021-09-23,21J (Delta)
seq_2662,2021-09-23,21J (Delta)
seq_2663,2021-09-22,21J (Delta)
seq_2664,2021-09-21,21J (Delta)
seq_2665,2021-09-22,21J (Delta)
seq_2666,2021-09-22,21J (Delta)
seq_2667,2021-09-21,21J (Delta)
seq_2668,2021-09-23,21J (Delta)
seq_2669,2021-09-22,21I (Delta)
seq_2670,2021-09-24,21J (Delta)
seq_2671,2021-09-23,21J (Delta)
seq_2672,2021-09-24,21A (Delta)
seq_2673,2021-09-23,21I (Delta)
seq_2674,2021-09-23,21J (Delta)
seq_2675,2021-09-25,21J (Delta)
seq_2676,2021-09-23,21I (Delta)
seq_2677,2021-09-24,21J (Delta)
seq_2678,2021-09-22,21J (Delta)
seq_2679,2021-09-22,21J (Delta)
seq_2680,2021-09-22,21J (Delta)
seq_2681,2021-09-23,21J (Delta)
seq_2682,2021-09-24,21J (Delta)
seq_2683,2021-09-21,21J (Delta)
seq_2684,2021-09-23,21J (Delta)
seq_2685,2021-09-24,21J (Delta)
seq_2686,2021-09-23,21J (Delta)
seq_2687,2021-09-24,21J (Delta)
seq_2688,2021-09-23,21J (Delta)
seq_2689,2021-09-22,21J (Delta)
seq_2690,2021-09-23,21J (Delta)
seq_2691,2021-09-23,21J (Delta)
seq_2692,2021-09-22,21J (Delta)
seq_2693,2021-09-21,21J (Delta)
seq_2694,2021-09-22,21J (Delta)
seq_2695,2021-09-24,21J (Delta)
seq_2696,2021-09-24,21J (Delta)
seq_2697,2021-09-24,21J (Delta)
seq_2698,2021-09-23,21J (Delta)
seq_2699,2021-09-22,21J (Delta)
seq_2700,2021-09-22,21J (Delta)
seq_2701,2021-09-22,21J (Delta)
seq_2702,2021-09-23,21J (Delta)
seq_2703,2021-09-24,21J (Delta)
seq_2704,2021-09-24,21J (Delta)
seq_2705,2021-09-21,21J (Delta)
seq_2706,2021-09-21,21J (Delta)
seq_2707,2021-09-23,21J (Delta)
seq_2708,2021-09-24,21J (Delta)
seq_2709,2021-09-21,21J (Delta)
seq_2710,2021-09-22,21J (Delta)
seq_2711,2021-09-23,21J (Delta)
seq_2712,2021-09-23,21J (Delta)
seq_2713,2021-09-24,21J (Delta)
seq_2714,2021-09-23,21J (Delta)
seq_2715,2021-09-22,21J (Delta)
seq_2716,2021-09-23,21J (Delta)
seq_2717,2021-09-22,21J (Delta)
seq_2718,2021-09-25,21J (Delta)
seq_2719,2021-09-25,21J (Delta)
seq_2720,2021-09-23,21J (Delta)
seq_2721,2021-09-25,21J (Delta)
seq_2722,2021-09-23,21J (Delta)
seq_2723,2021-09-24,21J (Delta)
seq_2724,2021-09-23,21J (Delta)
seq_2725,2021-09-24,21J (Delta)
seq_2726,2021-09-24,21J (Delta)
seq_2727,2021-09-22,21J (Delta)
seq_2728,2021-09-22,21J (Delta)
seq_2729,2021-09-23,21I (Delta)
seq_2730,2021-09-23,21J (Delta)
seq_2731,2021-09-23,21J (Delta)
seq_2732,2021-09-23,21J (Delta)
seq_2733,2021-09-24,21J (Delta)
seq_2734,2021-09-23,21J (Delta)
seq_2735,2021-09-22,21J (Delta)
seq_2736,2021-09-23,21J (Delta)
seq_2737,2021-09-22,21J (Delta)
seq_2738,2021-09-23,21J (Delta)
seq_2739,2021-09-22,21J (Delta)
seq_2740,2021-09-23,21J (Delta)
seq_2741,2021-09-22,21J (Delta)
seq_2742,2021-09-24,21J (Delta)
seq_2743,2021-09-23,21J (Delta)
seq_2744,2021-09-23,21J (Delta)
seq_2745,2021-09-21,21J (Delta)
seq_2746,2021-09-22,21A (Delta)
seq_2747,2021-09-22,21J (Delta)
seq_2748,2021-09-24,21J (Delta)
seq_2749,2021-09-22,21J (Delta)
seq_2750,2021-09-23,21J (Delta)
seq_2751,2021-09-24,21J (Delta)
seq_2752,2021-09-22,21I (Delta)
seq_2753,2021-09-22,21J (Delta)
seq_2754,2021-09-21,21J (Delta)
seq_2755,2021-09-22,21J (Delta)
seq_2756,2021-09-22,21J (Delta)
seq_2757,2021-09-23,21J (Delta)
seq_2758,2021-09-22,21J (Delta)
seq_2759,2021-09-22,21J (Delta)
seq_2760,2021-09-22,21I (Delta)
seq_2761,2021-09-21,21J (Delta)
seq_2762,2021-09-22,21J (Delta)
seq_2763,2021-09-24,21J (Delta)
seq_2764,2021-09-22,21J (Delta)
seq_2765,2021-09-22,21J (Delta)
seq_2766,2021-09-23,21J (Delta)
seq_2767,2021-09-22,21J (Delta)
seq_2768,2021-09-24,21I (Delta)
seq_2769,2021-09-22,21J (Delta)
seq_2770,2021-09-23,21J (Delta)
seq_2771,2021-09-22,21J (Delta)
seq_2772,2021-09-23,21J (Delta)
seq_2773,2021-09-24,21J (Delta)
seq_2774,2021-09-22,21J (Delta)
seq_2775,2021-09-23,21J (Delta)
seq_2776,2021-09-24,21J (Delta)
seq_2777,2021-09-23,21J (Delta)
seq_2778,2021-09-25,21J (Delta)
seq_2779,2021-09-22,21J (Delta)
seq_2780,2021-09-22,21J (Delta)
seq_2781,2021-09-23,21J (Delta)
seq_2782,2021-09-24,21J (Delta)
seq_2783,2021-09-22,21J (Delta)
seq_2784,2021-09-24,21J (Delta)
seq_2785,2021-09-24,21J (Delta)
seq_2786,2021-09-21,21J (Delta)
seq_2787,2021-09-23,21J (Delta)
seq_2788,2021-09-24,21I (Delta)
seq_2789,2021-09-23,21J (Delta)
seq_2790,2021-09-22,21I (Delta)
seq_2791,2021-09-22,21J (Delta)
seq_2792,2021-09-23,21J (Delta)
seq_2793,2021-09-23,21J (Delta)
seq_2794,2021-09-22,21J (Delta)
seq_2795,2021-09-23,21J (Delta)
seq_2796,2021-09-24,21J (Delta)
seq_2797,2021-09-24,21J (Delta)
seq_2798,2021-09-24,21J (Delta)
seq_2799,2021-09-23,21J (Delta)
seq_2800,2021-09-23,21J (Delta)
seq_2801,2021-09-23,21J (Delta)
seq_2802,2021-09-22,21J (Delta)
seq_2803,2021-09-23,21J (Delta)
seq_2804,2021-09-24,21J (Delta)
seq_2805,2021-09-23,21J (Delta)
seq_2806,2021-09-25,21J (Delta)
seq_2807,2021-09-24,21J (Delta)
seq_2808,2021-09-23,21J (Delta)
seq_2809,2021-09-22,21J (Delta)
seq_2810,2021-09-22,21J (Delta)
seq_2811,2021-09-22,21J (Delta)
seq_2812,2021-09-24,21J (Delta)
seq_2813,2021-09-24,21J (Delta)
seq_2814,2021-09-22,21J (Delta)
seq_2815,2021-09-24,21J (Delta)
seq_2816,2021-09-24,21J (Delta)
seq_2817,2021-09-22,21J (Delta)
seq_2818,2021-09-23,21J (Delta)
seq_2819,2021-09-22,21J (Delta)
seq_2820,2021-09-23,21J (Delta)
seq_2821,2021-09-23,21J (Delta)
seq_2822,2021-09-22,21J (Delta)
seq_2823,2021-09-23,21J (Delta)
seq_2824,2021-09-23,21J (Delta)
seq_2825,2021-09-24,21I (Delta)
seq_2826,2021-09-22,21J (Delta)
seq_2827,2021-09-23,21J (Delta)
seq_2828,2021-09-23,21I (Delta)
seq_2829,2021-09-23,21J (Delta)
seq_2830,2021-09-22,21J (Delta)
seq_2831,2021-09-22,21J (Delta)
seq_2832,2021-09-25,21J (Delta)
seq_2833,2021-09-23,"20J (Gamma, V3)"
seq_2834,2021-09-22,21I (Delta)
seq_2835,2021-09-22,21J (Delta)
seq_2836,2021-09-24,21J (Delta)
seq_2837,2021-09-22,21J (Delta)
seq_2838,2021-09-24,21J (Delta)
seq_2839,2021-09-22,21J (Delta)
seq_2840,2021-09-24,21J (Delta)
seq_2841,2021-09-23,21J (Delta)
seq_2842,2021-09-22,21J (Delta)
seq_2843,2021-09-24,21J (Delta)
seq_2844,2021-09-23,21J (Delta)
seq_2845,2021-09-22,21J (Delta)
seq_2846,2021-09-21,21J (Delta)
seq_2847,2021-09-24,21J (Delta)
seq_2848,2021-09-22,21J (Delta)
seq_2849,2021-09-24,21J (Delta)
seq_2850,2021-09-22,21J (Delta)
seq_2851,2021-09-22,21J (Delta)
seq_2852,2021-09-24,21J (Delta)
seq_2853,2021-09-23,21J (Delta)
seq_2854,2021-09-22,21J (Delta)
seq_2855,2021-09-23,21J (Delta)
seq_2856,2021-09-22,21A (Delta)
seq_2857,2021-09-23,21J (Delta)
seq_2858,2021-09-24,21J (Delta)
seq_2859,2021-09-23,21J (Delta)
seq_2860,2021-09-22,21J (Delta)
seq_2861,2021-09-22,21J (Delta)
seq_2862,2021-09-23,21J (Delta)
seq_2863,2021-09-23,21A (Delta)
seq_2864,2021-09-24,21J (Delta)
seq_2865,2021-09-23,21J (Delta)
seq_2866,2021-09-24,21J (Delta)
seq_2867,2021-09-24,21I (Delta)
seq_2868,2021-09-23,21J (Delta)
seq_2869,2021-09-24,21J (Delta)
seq_2870,2021-09-23,21I (Delta)
seq_2871,2021-09-24,21J (Delta)
seq_2872,2021-09-22,21J (Delta)
seq_2873,2021-10-01,21J (Delta)
seq_2874,2021-10-01,21I (Delta)
seq_2875,2021-10-01,21J (Delta)
seq_2876,2021-09-29,21J (Delta)
seq_2877,2021-09-29,21J (Delta)
seq_2878,2021-09-29,21J (Delta)
seq_2879,2021-10-01,21A (Delta)
seq_2880,2021-10-01,21J (Delta)
seq_2881,2021-09-29,21J (Delta)
seq_2882,2021-10-01,21J (Delta)
seq_2883,2021-09-30,21J (Delta)
seq_2884,2021-10-01,21J (Delta)
seq_2885,2021-10-01,21J (Delta)
seq_2886,2021-10-01,21J (Delta)
seq_2887,2021-10-01,21J (Delta)
seq_2888,2021-10-01,21J (Delta)
seq_2889,2021-10-01,21J (Delta)
seq_2890,2021-09-30,21J (Delta)
seq_2891,2021-10-01,21J (Delta)
seq_2892,2021-10-01,21J (Delta)
seq_2893,2021-10-03,21J (Delta)
seq_2894,2021-10-01,21J (Delta)
seq_2895,2021-10-01,21J (Delta)
seq_2896,2021-10-01,21J (Delta)
seq_2897,2021-10-01,21I (Delta)
seq_2898,2021-09-29,21J (Delta)
seq_2899,2021-09-30,21J (Delta)
seq_2900,2021-09-30,21J (Delta)
seq_2901,2021-10-02,21J (Delta)
seq_2902,2021-09-29,21H (Mu)
seq_2903,2021-09-30,21J (Delta)
seq_2904,2021-09-29,21J (Delta)
seq_2905,2021-09-30,21J (Delta)
seq_2906,2021-10-01,21J (Delta)
seq_2907,2021-09-29,21J (Delta)
seq_2908,2021-10-01,21J (Delta)
seq_2909,2021-10-02,21J (Delta)
seq_2910,2021-10-02,21J (Delta)
seq_2911,2021-10-01,21J (Delta)
seq_2912,2021-10-02,21J (Delta)
seq_2913,2021-10-01,21J (Delta)
seq_2914,2021-10-01,21J (Delta)
seq_2915,2021-10-01,21J (Delta)
seq_2916,2021-09-29,21J (Delta)
seq_2917,2021-09-29,21J (Delta)
seq_2918,2021-09-29,21J (Delta)
seq_2919,2021-10-01,21J (Delta)
seq_2920,2021-10-01,21J (Delta)
seq_2921,2021-10-02,21J (Delta)
seq_2922,2021-09-30,21J (Delta)
seq_2923,2021-10-02,21J (Delta)
seq_2924,2021-10-02,21J (Delta)
seq_2925,2021-09-29,21J (Delta)
seq_2926,2021-09-29,21J (Delta)
seq_2927,2021-09-29,21J (Delta)
seq_2928,2021-10-02,21J (Delta)
seq_2929,2021-09-30,21J (Delta)
seq_2930,2021-09-29,21J (Delta)
seq_2931,2021-10-01,21J (Delta)
seq_2932,2021-10-01,21J (Delta)
seq_2933,2021-09-30,21J (Delta)
seq_2934,2021-10-01,21J (Delta)
seq_2935,2021-10-03,21J (Delta)
seq_2936,2021-09-29,21J (Delta)
seq_2937,2021-09-30,21J (Delta)
seq_2938,2021-09-29,21J (Delta)
seq_2939,2021-09-29,21J (Delta)
seq_2940,2021-10-01,21J (Delta)
seq_2941,2021-09-29,21J (Delta)
seq_2942,2021-10-01,21J (Delta)
seq_2943,2021-09-30,21J (Delta)
seq_2944,2021-10-01,21J (Delta)
seq_2945,2021-10-01,21J (Delta)
seq_2946,2021-10-03,21J (Delta)
seq_2947,2021-10-01,21J (Delta)
seq_2948,2021-10-01,21J (Delta)
seq_2949,2021-10-01,21J (Delta)
seq_2950,2021-10-01,21J (Delta)
seq_2951,2021-10-01,21J (Delta)
seq_2952,2021-10-01,21J (Delta)
seq_2953,2021-10-01,21J (Delta)
seq_2954,2021-09-30,21J (Delta)
seq_2955,2021-10-01,21J (Delta)
seq_2956,2021-10-01,21J (Delta)
seq_2957,2021-10-01,21J (Delta)
seq_2958,2021-10-01,21J (Delta)
seq_2959,2021-10-01,21J (Delta)
seq_2960,2021-10-02,21J (Delta)
seq_2961,2021-09-29,21J (Delta)
seq_2962,2021-10-01,21J (Delta)
seq_2963,2021-10-02,21J (Delta)
seq_2964,2021-09-29,21J (Delta)
seq_2965,2021-10-01,21J (Delta)
seq_2966,2021-09-29,21J (Delta)
seq_2967,2021-09-29,21J (Delta)
seq_2968,2021-10-03,21J (Delta)
seq_2969,2021-09-29,21J (Delta)
seq_2970,2021-10-01,21J (Delta)
seq_2971,2021-10-01,21J (Delta)
seq_2972,2021-10-01,21J (Delta)
seq_2973,2021-09-30,21J (Delta)
seq_2974,2021-09-29,21J (Delta)
seq_2975,2021-10-01,21J (Delta)
seq_2976,2021-10-01,21J (Delta)
seq_2977,2021-10-03,21J (Delta)
seq_2978,2021-09-29,21I (Delta)
seq_2979,2021-10-01,21J (Delta)
seq_2980,2021-10-01,21J (Delta)
seq_2981,2021-09-30,21J (Delta)
seq_2982,2021-10-01,21J (Delta)
seq_2983,2021-10-01,21J (Delta)
seq_2984,2021-10-01,21J (Delta)
seq_2985,2021-10-01,21J (Delta)
seq_2986,2021-10-01,21J (Delta)
seq_2987,2021-10-03,21J (Delta)
seq_2988,2021-09-29,21J (Delta)
seq_2989,2021-10-01,21J (Delta)
seq_2990,2021-10-01,21J (Delta)
seq_2991,2021-10-03,21J (Delta)
seq_2992,2021-10-01,21J (Delta)
seq_2993,2021-10-03,21J (Delta)
seq_2994,2021-10-03,21J (Delta)
seq_2995,2021-10-02,21J (Delta)
seq_2996,2021-09-29,21J (Delta)
seq_2997,2021-09-29,21J (Delta)
seq_2998,2021-09-29,21J (Delta)
seq_2999,2021-10-01,21J (Delta)
seq_3000,2021-09-30,21J (Delta)
seq_3001,2021-10-02,21J (Delta)
seq_3002,2021-10-02,21J (Delta)
seq_3003,2021-10-01,21J (Delta)
seq_3004,2021-09-30,21J (Delta)
seq_3005,2021-09-30,21A (Delta)
seq_3006,2021-10-01,21J (Delta)
seq_3007,2021-09-29,21J (Delta)
seq_3008,2021-10-01,21J (Delta)
seq_3009,2021-09-30,21J (Delta)
seq_3010,2021-10-01,21J (Delta)
seq_3011,2021-10-03,21J (Delta)
seq_3012,2021-10-01,21J (Delta)
seq_3013,2021-09-29,21J (Delta)
seq_3014,2021-10-01,21J (Delta)
seq_3015,2021-10-01,21J (Delta)
seq_3016,2021-10-03,21J (Delta)
seq_3017,2021-10-03,21J (Delta)
seq_3018,2021-09-30,21J (Delta)
seq_3019,2021-10-03,21J (Delta)
seq_3020,2021-09-29,21A (Delta)
seq_3021,2021-09-29,21J (Delta)
seq_3022,2021-10-01,21J (Delta)
seq_3023,2021-10-01,21J (Delta)
seq_3024,2021-10-02,21J (Delta)
seq_3025,2021-10-01,21J (Delta)
seq_3026,2021-09-30,21J (Delta)
seq_3027,2021-10-01,21J (Delta)
seq_3028,2021-10-01,21J (Delta)
seq_3029,2021-09-30,21J (Delta)
seq_3030,2021-10-02,21J (Delta)
